,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
,,1652.956,2157.896,1856.65,1132.329,1254.03,1177.084,1147.377,1036.164,1134.517,1345.67,998.024,1112.828,2008.902,3074.345,3660.065,3778.338,3504.438,2598.918,1983.664,1983.643,2132.195,1897.592,1097.666,634.74,259.388,94.675,113.055,130.386,142.071,144.635,166.89,152.616,89.755,91.55,102.6,91.624,135.003,182.713,211.173,196.126,189.781,183.774,189.372,208.855,256.116,239.868,231.599,253.125,230.419,223.922,213.442,222.607,235.01,249.261,240.962,230.209,240.825,238.221,229.237,228.939,222.413,230.932,243.381,228.216,210.649,218.012,217.807,216.928,209.171,210.909,201.771,196.17,191.616,183.64,182.643,179.702,181.717,164.451,149.205,160.956,156.861,155.827,156.011,145.626,129.104,134.201,133.207,132.198,140.247,143.046,130.066,124.614,134.779,123.999,127.155,,
,,6519.838,6519.838,5549.689,5549.689,4516.408,4516.408,3882.841,3882.841,4175.154,4175.154,3809.24,3809.24,10269.121,10269.121,15881.511,15881.511,12713.182,12713.182,7806.211,7806.211,6557.67,6557.67,1502.382,1502.382,82.244,82.244,52.771,52.771,70.829,70.829,72.497,72.497,27.153,27.153,30.078,30.078,61.499,61.499,77.276,77.276,71.633,71.633,79.723,79.723,95.604,95.604,90.735,90.735,98.109,98.109,96.645,96.645,109.605,109.605,109.396,109.396,117.646,117.646,109.037,109.037,99.928,99.928,103.486,103.486,94.147,94.147,90.557,90.557,86.401,86.401,89.639,89.639,79.915,79.915,73.727,73.727,66.492,66.492,61.885,61.885,55.031,55.031,56.499,56.499,47.291,47.291,48.694,48.694,59.208,59.208,68.857,68.857,66.545,66.545,63.644,,
,,,19451.756,22380.093,22380.093,20173.694,20173.694,18025.52,18025.52,17720.168,17720.168,19242.704,19242.704,36547.035,36547.035,49584.653,49584.653,40794.915,40794.915,25575.897,25575.897,14364.026,14364.026,2331.344,2331.344,103.605,103.605,49.832,49.832,64.888,64.888,46.958,46.958,16.255,16.255,16.486,16.486,29.3,29.3,30.964,30.964,29.167,29.167,32.955,32.955,34.636,34.636,36.743,36.743,47.253,47.253,43.912,43.912,44.622,44.622,47.578,47.578,56.195,56.195,51.852,51.852,41.525,41.525,41.873,41.873,40.377,40.377,37.266,37.266,35.037,35.037,39.673,39.673,36.044,36.044,32.598,32.598,29.882,29.882,32.644,32.644,26.954,26.954,31.657,31.657,28.957,28.957,29.71,29.71,40.801,40.801,69.023,69.023,57.571,57.571,,,
,,,,48167.842,48167.842,49077.251,49077.251,46358.519,46358.519,44993.331,44993.331,49882.919,49882.919,71796.81,71796.81,83683.446,83683.446,67509.183,67509.183,40277.798,40277.798,18116.316,18116.316,3055.867,3055.867,252.079,252.079,100.691,100.691,100.987,100.987,59.678,59.678,24.027,24.027,21.016,21.016,28.379,28.379,26.92,26.92,25.029,25.029,26.457,26.457,26.276,26.276,30.508,30.508,41.301,41.301,37.475,37.475,34.473,34.473,37.019,37.019,45.046,45.046,43.05,43.05,33.883,33.883,32.734,32.734,32.013,32.013,29.231,29.231,27.561,27.561,31.468,31.468,30.345,30.345,28.234,28.234,27.343,27.343,31.743,31.743,28.263,28.263,34.93,34.93,37.075,37.075,41.342,41.342,59.87,59.87,99.104,99.104,70.857,,,,
,,,,,69197.738,77009.367,77009.367,77611.224,77611.224,76291.432,76291.432,81384.425,81384.425,90972.123,90972.123,96883.128,96883.128,75564.121,75564.121,41734.637,41734.637,18278.436,18278.436,3716.333,3716.333,619.17,619.17,232.473,232.473,184.427,184.427,100.825,100.825,49.098,49.098,38.581,38.581,42.711,42.711,39.293,39.293,35.925,35.925,35.242,35.242,34.98,34.98,42.199,42.199,54.521,54.521,50.298,50.298,44.757,44.757,46.668,46.668,54.884,54.884,54.406,54.406,45.367,45.367,42.198,42.198,40.471,40.471,36.902,36.902,35.181,35.181,38.754,38.754,38.934,38.934,37.379,37.379,37.317,37.317,41.982,41.982,40.691,40.691,50.36,50.36,58.817,58.817,71.9,71.9,100.95,100.95,136.209,136.209,,,,,
,,,,,,85343.381,85343.381,80725.922,80725.922,78472.75,78472.75,80149.838,80149.838,85226.347,85226.347,85349.911,85349.911,67638.066,67638.066,32771.249,32771.249,17524.978,17524.978,3938.912,3938.912,1361.718,1361.718,467.75,467.75,346.226,346.226,173.921,173.921,108.975,108.975,78.613,78.613,78.604,78.604,71.779,71.779,66.718,66.718,62.991,62.991,63.368,63.368,76.849,76.849,89.561,89.561,85.777,85.777,78.924,78.924,79.754,79.754,87.142,87.142,87.402,87.402,79.003,79.003,71.128,71.128,67.571,67.571,61.16,61.16,59.169,59.169,61.749,61.749,62.387,62.387,60.179,60.179,60.004,60.004,62.373,62.373,62.669,62.669,75.802,75.802,87.709,87.709,112.485,112.485,139.371,139.371,149.421,,,,,,
,,,,,,,70994.509,78974.218,78974.218,78974.218,78974.218,80373.078,80373.078,80373.078,80373.078,60652.304,60652.304,60652.304,60652.304,20085.079,20085.079,20085.079,20085.079,2974.154,2974.154,2974.154,2974.154,645.363,645.363,645.363,645.363,233.929,233.929,233.929,233.929,138.818,138.818,138.818,138.818,120.851,120.851,120.851,120.851,112.693,112.693,112.693,112.693,140.719,140.719,140.719,140.719,141.564,141.564,141.564,141.564,140.62,140.62,140.62,140.62,138.518,138.518,138.518,138.518,117.133,117.133,117.133,117.133,101.711,101.711,101.711,101.711,99.395,99.395,99.395,99.395,93.095,93.095,93.095,93.095,88.328,88.328,88.328,88.328,106.375,106.375,106.375,106.375,143.416,143.416,143.416,143.416,,,,,,,
,,,,,,,,67860.204,67860.204,67860.204,67860.204,63145.466,63145.466,63145.466,63145.466,39629.988,39629.988,39629.988,39629.988,15880.524,15880.524,15880.524,15880.524,3619.027,3619.027,3619.027,3619.027,1149.904,1149.904,1149.904,1149.904,484.476,484.476,484.476,484.476,321.086,321.086,321.086,321.086,289.59,289.59,289.59,289.59,283.246,283.246,283.246,283.246,341.758,341.758,341.758,341.758,354.034,354.034,354.034,354.034,351.386,351.386,351.386,351.386,342.199,342.199,342.199,342.199,294.145,294.145,294.145,294.145,256.294,256.294,256.294,256.294,227.617,227.617,227.617,227.617,194.74,194.74,194.74,194.74,147.815,147.815,147.815,147.815,147.676,147.676,147.676,147.676,158.127,158.127,158.127,,,,,,,,
,,,,,,,,,43677.443,43677.443,43677.443,40397.792,40397.792,40397.792,40397.792,23764.971,23764.971,23764.971,23764.971,12946.051,12946.051,12946.051,12946.051,3740.4,3740.4,3740.4,3740.4,1839.935,1839.935,1839.935,1839.935,871.723,871.723,871.723,871.723,671.336,671.336,671.336,671.336,623.428,623.428,623.428,623.428,631.526,631.526,631.526,631.526,757.391,757.391,757.391,757.391,793.189,793.189,793.189,793.189,808.248,808.248,808.248,808.248,790.081,790.081,790.081,790.081,684.333,684.333,684.333,684.333,611.365,611.365,611.365,611.365,473.756,473.756,473.756,473.756,390.359,390.359,390.359,390.359,225.71,225.71,225.71,225.71,197.959,197.959,197.959,197.959,157.491,157.491,,,,,,,,,
,,,,,,,,,,26115.64,26115.64,26115.64,26115.64,26115.64,26115.64,12355.139,12355.139,12355.139,12355.139,12355.139,12355.139,12355.139,12355.139,3074.295,3074.295,3074.295,3074.295,3074.295,3074.295,3074.295,3074.295,1313.036,1313.036,1313.036,1313.036,1313.036,1313.036,1313.036,1313.036,1200.92,1200.92,1200.92,1200.92,1200.92,1200.92,1200.92,1200.92,1500.39,1500.39,1500.39,1500.39,1500.39,1500.39,1500.39,1500.39,1622.588,1622.588,1622.588,1622.588,1622.588,1622.588,1622.588,1622.588,1353.113,1353.113,1353.113,1353.113,1353.113,1353.113,1353.113,1353.113,790.763,790.763,790.763,790.763,790.763,790.763,790.763,790.763,290.658,290.658,290.658,290.658,290.658,290.658,290.658,290.658,141.096,,,,,,,,,,
,,,,,,,,,,,18846.748,18846.748,18846.748,18846.748,18846.748,9670.26,9670.26,9670.26,9670.26,9670.26,9670.26,9670.26,9670.26,3169.605,3169.605,3169.605,3169.605,3169.605,3169.605,3169.605,3169.605,1737.28,1737.28,1737.28,1737.28,1737.28,1737.28,1737.28,1737.28,1762.912,1762.912,1762.912,1762.912,1762.912,1762.912,1762.912,1762.912,2281.475,2281.475,2281.475,2281.475,2281.475,2281.475,2281.475,2281.475,2622.003,2622.003,2622.003,2622.003,2622.003,2622.003,2622.003,2622.003,2272.219,2272.219,2272.219,2272.219,2272.219,2272.219,2272.219,2272.219,1211.829,1211.829,1211.829,1211.829,1211.829,1211.829,1211.829,1211.829,365.203,365.203,365.203,365.203,365.203,365.203,365.203,365.203,,,,,,,,,,,
