0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945,0.201,0.307,0.414,0.529,0.685,0.841,0.997,1.658,2.329
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179,-0.397,-0.615,-0.833,-1.027,-1.142,-1.257,-1.372,-1.487,-1.602,-1.717,-1.832,-1.947,-2.062,-2.178,-2.288,-2.397,-2.506,-2.615,-2.724,-2.833,-2.942,-3.051,-3.16,-3.269,-3.378,-3.487,-3.596,-3.666,-3.733,-3.801,-3.869,-3.936,-4.004,-4.072,-4.139,-4.207,-4.275,-4.342,-4.41,-4.478,-4.566,-4.665,-4.764,-4.862,-4.961,-5.059,-5.158,-5.257,-5.355,-5.454,-5.553,-5.651,-5.75,-5.792,-5.777,-5.762,-5.747,-5.731,-5.716,-5.701,-5.685,-5.67,-5.655,-5.639,-5.624,-5.609,-5.559,-5.462,-5.365,-5.268,-5.171,-5.074,-4.977,-4.88,-4.783,-4.686,-4.589,-4.492,-4.392,-4.21,-4.029,-3.848,-3.667,-3.486,-3.305,-3.124,-2.943,-2.762,-2.581,-2.4,-2.219,-2.071,-1.927,-1.783,-1.639,-1.495,-1.351,-1.207,-1.063,-0.919,-0.776,-0.632,-0.763,-0.971,-1.18,-1.389,-1.597,-1.806,-2.015,-2.223,-2.432,-2.64,-2.745,-2.513,-2.28,-2.047,-1.864,-1.693,-1.522,-1.35,-1.179,-1.008,-0.539,-0.0541,0,0,0,0,0,0,0,0,0,0
-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.979,-4.197,-4.415,-4.633,-4.827,-4.942,-5.057,-5.172,-5.287,-5.402,-5.517,-5.632,-5.747,-5.862,-5.978,-6.088,-6.197,-6.306,-6.415,-6.524,-6.633,-6.742,-6.851,-6.96,-7.069,-7.178,-7.287,-7.396,-7.466,-7.533,-7.601,-7.669,-7.736,-7.804,-7.872,-7.939,-8.007,-8.075,-8.142,-8.21,-8.278,-8.366,-8.465,-8.564,-8.662,-8.761,-8.859,-8.958,-9.057,-9.155,-9.254,-9.353,-9.451,-9.55,-9.592,-9.577,-9.562,-9.547,-9.531,-9.516,-9.501,-9.485,-9.47,-9.455,-9.439,-9.424,-9.409,-9.359,-9.262,-9.165,-9.068,-8.971,-8.874,-8.777,-8.68,-8.583,-8.486,-8.389,-8.292,-8.192,-8.01,-7.829,-7.648,-7.467,-7.286,-7.105,-6.924,-6.743,-6.562,-6.381,-6.2,-6.019,-5.871,-5.727,-5.583,-5.439,-5.295,-5.151,-5.007,-4.863,-4.719,-4.576,-4.432,-4.563,-4.771,-4.98,-5.189,-5.397,-5.606,-5.815,-6.023,-6.232,-6.44,-6.545,-6.313,-6.08,-5.847,-5.664,-5.493,-5.322,-5.15,-4.979,-4.808,-4.339,-3.8541,-3.7055,-3.599,-3.493,-3.386,-3.271,-3.115,-2.959,-2.803,-2.142,-1.471
-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-8.159,-8.377,-8.595,-8.813,-9.007,-9.122,-9.237,-9.352,-9.467,-9.582,-9.697,-9.812,-9.927,-10.042,-10.158,-10.268,-10.377,-10.486,-10.595,-10.704,-10.813,-10.922,-11.031,-11.14,-11.249,-11.358,-11.467,-11.576,-11.646,-11.713,-11.781,-11.849,-11.916,-11.984,-12.052,-12.119,-12.187,-12.255,-12.322,-12.39,-12.458,-12.546,-12.645,-12.744,-12.842,-12.941,-13.039,-13.138,-13.237,-13.335,-13.434,-13.533,-13.631,-13.73,-13.772,-13.757,-13.742,-13.727,-13.711,-13.696,-13.681,-13.665,-13.65,-13.635,-13.619,-13.604,-13.589,-13.539,-13.442,-13.345,-13.248,-13.151,-13.054,-12.957,-12.86,-12.763,-12.666,-12.569,-12.472,-12.372,-12.19,-12.009,-11.828,-11.647,-11.466,-11.285,-11.104,-10.923,-10.742,-10.561,-10.38,-10.199,-10.051,-9.907,-9.763,-9.619,-9.475,-9.331,-9.187,-9.043,-8.899,-8.756,-8.612,-8.743,-8.951,-9.16,-9.369,-9.577,-9.786,-9.995,-10.203,-10.412,-10.62,-10.725,-10.493,-10.26,-10.027,-9.844,-9.673,-9.502,-9.33,-9.159,-8.988,-8.519,-8.0341,-7.8855,-7.779,-7.673,-7.566,-7.451,-7.295,-7.139,-6.983,-6.322,-5.651
-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.578,-12.757,-12.975,-13.193,-13.411,-13.605,-13.72,-13.835,-13.95,-14.065,-14.18,-14.295,-14.41,-14.525,-14.64,-14.756,-14.866,-14.975,-15.084,-15.193,-15.302,-15.411,-15.52,-15.629,-15.738,-15.847,-15.956,-16.065,-16.174,-16.244,-16.311,-16.379,-16.447,-16.514,-16.582,-16.65,-16.717,-16.785,-16.853,-16.92,-16.988,-17.056,-17.144,-17.243,-17.342,-17.44,-17.539,-17.637,-17.736,-17.835,-17.933,-18.032,-18.131,-18.229,-18.328,-18.37,-18.355,-18.34,-18.325,-18.309,-18.294,-18.279,-18.263,-18.248,-18.233,-18.217,-18.202,-18.187,-18.137,-18.04,-17.943,-17.846,-17.749,-17.652,-17.555,-17.458,-17.361,-17.264,-17.167,-17.07,-16.97,-16.788,-16.607,-16.426,-16.245,-16.064,-15.883,-15.702,-15.521,-15.34,-15.159,-14.978,-14.797,-14.649,-14.505,-14.361,-14.217,-14.073,-13.929,-13.785,-13.641,-13.497,-13.354,-13.21,-13.341,-13.549,-13.758,-13.967,-14.175,-14.384,-14.593,-14.801,-15.01,-15.218,-15.323,-15.091,-14.858,-14.625,-14.442,-14.271,-14.1,-13.928,-13.757,-13.586,-13.117,-12.6321,-12.4835,-12.377,-12.271,-12.164,-12.049,-11.893,-11.737,-11.581,-10.92,-10.249
-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.636,-17.815,-18.033,-18.251,-18.469,-18.663,-18.778,-18.893,-19.008,-19.123,-19.238,-19.353,-19.468,-19.583,-19.698,-19.814,-19.924,-20.033,-20.142,-20.251,-20.36,-20.469,-20.578,-20.687,-20.796,-20.905,-21.014,-21.123,-21.232,-21.302,-21.369,-21.437,-21.505,-21.572,-21.64,-21.708,-21.775,-21.843,-21.911,-21.978,-22.046,-22.114,-22.202,-22.301,-22.4,-22.498,-22.597,-22.695,-22.794,-22.893,-22.991,-23.09,-23.189,-23.287,-23.386,-23.428,-23.413,-23.398,-23.383,-23.367,-23.352,-23.337,-23.321,-23.306,-23.291,-23.275,-23.26,-23.245,-23.195,-23.098,-23.001,-22.904,-22.807,-22.71,-22.613,-22.516,-22.419,-22.322,-22.225,-22.128,-22.028,-21.846,-21.665,-21.484,-21.303,-21.122,-20.941,-20.76,-20.579,-20.398,-20.217,-20.036,-19.855,-19.707,-19.563,-19.419,-19.275,-19.131,-18.987,-18.843,-18.699,-18.555,-18.412,-18.268,-18.399,-18.607,-18.816,-19.025,-19.233,-19.442,-19.651,-19.859,-20.068,-20.276,-20.381,-20.149,-19.916,-19.683,-19.5,-19.329,-19.158,-18.986,-18.815,-18.644,-18.175,-17.6901,-17.5415,-17.435,-17.329,-17.222,-17.107,-16.951,-16.795,-16.639,-15.978,-15.307
-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.199,-23.378,-23.596,-23.814,-24.032,-24.226,-24.341,-24.456,-24.571,-24.686,-24.801,-24.916,-25.031,-25.146,-25.261,-25.377,-25.487,-25.596,-25.705,-25.814,-25.923,-26.032,-26.141,-26.25,-26.359,-26.468,-26.577,-26.686,-26.795,-26.865,-26.932,-27,-27.068,-27.135,-27.203,-27.271,-27.338,-27.406,-27.474,-27.541,-27.609,-27.677,-27.765,-27.864,-27.963,-28.061,-28.16,-28.258,-28.357,-28.456,-28.554,-28.653,-28.752,-28.85,-28.949,-28.991,-28.976,-28.961,-28.946,-28.93,-28.915,-28.9,-28.884,-28.869,-28.854,-28.838,-28.823,-28.808,-28.758,-28.661,-28.564,-28.467,-28.37,-28.273,-28.176,-28.079,-27.982,-27.885,-27.788,-27.691,-27.591,-27.409,-27.228,-27.047,-26.866,-26.685,-26.504,-26.323,-26.142,-25.961,-25.78,-25.599,-25.418,-25.27,-25.126,-24.982,-24.838,-24.694,-24.55,-24.406,-24.262,-24.118,-23.975,-23.831,-23.962,-24.17,-24.379,-24.588,-24.796,-25.005,-25.214,-25.422,-25.631,-25.839,-25.944,-25.712,-25.479,-25.246,-25.063,-24.892,-24.721,-24.549,-24.378,-24.207,-23.738,-23.2531,-23.1045,-22.998,-22.892,-22.785,-22.67,-22.514,-22.358,-22.202,-21.541,-20.87
-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.319,-29.498,-29.716,-29.934,-30.152,-30.346,-30.461,-30.576,-30.691,-30.806,-30.921,-31.036,-31.151,-31.266,-31.381,-31.497,-31.607,-31.716,-31.825,-31.934,-32.043,-32.152,-32.261,-32.37,-32.479,-32.588,-32.697,-32.806,-32.915,-32.985,-33.052,-33.12,-33.188,-33.255,-33.323,-33.391,-33.458,-33.526,-33.594,-33.661,-33.729,-33.797,-33.885,-33.984,-34.083,-34.181,-34.28,-34.378,-34.477,-34.576,-34.674,-34.773,-34.872,-34.97,-35.069,-35.111,-35.096,-35.081,-35.066,-35.05,-35.035,-35.02,-35.004,-34.989,-34.974,-34.958,-34.943,-34.928,-34.878,-34.781,-34.684,-34.587,-34.49,-34.393,-34.296,-34.199,-34.102,-34.005,-33.908,-33.811,-33.711,-33.529,-33.348,-33.167,-32.986,-32.805,-32.624,-32.443,-32.262,-32.081,-31.9,-31.719,-31.538,-31.39,-31.246,-31.102,-30.958,-30.814,-30.67,-30.526,-30.382,-30.238,-30.095,-29.951,-30.082,-30.29,-30.499,-30.708,-30.916,-31.125,-31.334,-31.542,-31.751,-31.959,-32.064,-31.832,-31.599,-31.366,-31.183,-31.012,-30.841,-30.669,-30.498,-30.327,-29.858,-29.3731,-29.2245,-29.118,-29.012,-28.905,-28.79,-28.634,-28.478,-28.322,-27.661,-26.99
-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.051,-36.23,-36.448,-36.666,-36.884,-37.078,-37.193,-37.308,-37.423,-37.538,-37.653,-37.768,-37.883,-37.998,-38.113,-38.229,-38.339,-38.448,-38.557,-38.666,-38.775,-38.884,-38.993,-39.102,-39.211,-39.32,-39.429,-39.538,-39.647,-39.717,-39.784,-39.852,-39.92,-39.987,-40.055,-40.123,-40.19,-40.258,-40.326,-40.393,-40.461,-40.529,-40.617,-40.716,-40.815,-40.913,-41.012,-41.11,-41.209,-41.308,-41.406,-41.505,-41.604,-41.702,-41.801,-41.843,-41.828,-41.813,-41.798,-41.782,-41.767,-41.752,-41.736,-41.721,-41.706,-41.69,-41.675,-41.66,-41.61,-41.513,-41.416,-41.319,-41.222,-41.125,-41.028,-40.931,-40.834,-40.737,-40.64,-40.543,-40.443,-40.261,-40.08,-39.899,-39.718,-39.537,-39.356,-39.175,-38.994,-38.813,-38.632,-38.451,-38.27,-38.122,-37.978,-37.834,-37.69,-37.546,-37.402,-37.258,-37.114,-36.97,-36.827,-36.683,-36.814,-37.022,-37.231,-37.44,-37.648,-37.857,-38.066,-38.274,-38.483,-38.691,-38.796,-38.564,-38.331,-38.098,-37.915,-37.744,-37.573,-37.401,-37.23,-37.059,-36.59,-36.1051,-35.9565,-35.85,-35.744,-35.637,-35.522,-35.366,-35.21,-35.054,-34.393,-33.722
-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.456,-43.635,-43.853,-44.071,-44.289,-44.483,-44.598,-44.713,-44.828,-44.943,-45.058,-45.173,-45.288,-45.403,-45.518,-45.634,-45.744,-45.853,-45.962,-46.071,-46.18,-46.289,-46.398,-46.507,-46.616,-46.725,-46.834,-46.943,-47.052,-47.122,-47.189,-47.257,-47.325,-47.392,-47.46,-47.528,-47.595,-47.663,-47.731,-47.798,-47.866,-47.934,-48.022,-48.121,-48.22,-48.318,-48.417,-48.515,-48.614,-48.713,-48.811,-48.91,-49.009,-49.107,-49.206,-49.248,-49.233,-49.218,-49.203,-49.187,-49.172,-49.157,-49.141,-49.126,-49.111,-49.095,-49.08,-49.065,-49.015,-48.918,-48.821,-48.724,-48.627,-48.53,-48.433,-48.336,-48.239,-48.142,-48.045,-47.948,-47.848,-47.666,-47.485,-47.304,-47.123,-46.942,-46.761,-46.58,-46.399,-46.218,-46.037,-45.856,-45.675,-45.527,-45.383,-45.239,-45.095,-44.951,-44.807,-44.663,-44.519,-44.375,-44.232,-44.088,-44.219,-44.427,-44.636,-44.845,-45.053,-45.262,-45.471,-45.679,-45.888,-46.096,-46.201,-45.969,-45.736,-45.503,-45.32,-45.149,-44.978,-44.806,-44.635,-44.464,-43.995,-43.5101,-43.3615,-43.255,-43.149,-43.042,-42.927,-42.771,-42.615,-42.459,-41.798,-41.127
-51.602,-51.602,-51.602,-51.602,-51.602,-51.602,-51.602,-51.602,-51.602,-51.602,-51.602,-51.602,-51.602,-51.602,-51.781,-51.999,-52.217,-52.435,-52.629,-52.744,-52.859,-52.974,-53.089,-53.204,-53.319,-53.434,-53.549,-53.664,-53.78,-53.89,-53.999,-54.108,-54.217,-54.326,-54.435,-54.544,-54.653,-54.762,-54.871,-54.98,-55.089,-55.198,-55.268,-55.335,-55.403,-55.471,-55.538,-55.606,-55.674,-55.741,-55.809,-55.877,-55.944,-56.012,-56.08,-56.168,-56.267,-56.366,-56.464,-56.563,-56.661,-56.76,-56.859,-56.957,-57.056,-57.155,-57.253,-57.352,-57.394,-57.379,-57.364,-57.349,-57.333,-57.318,-57.303,-57.287,-57.272,-57.257,-57.241,-57.226,-57.211,-57.161,-57.064,-56.967,-56.87,-56.773,-56.676,-56.579,-56.482,-56.385,-56.288,-56.191,-56.094,-55.994,-55.812,-55.631,-55.45,-55.269,-55.088,-54.907,-54.726,-54.545,-54.364,-54.183,-54.002,-53.821,-53.673,-53.529,-53.385,-53.241,-53.097,-52.953,-52.809,-52.665,-52.521,-52.378,-52.234,-52.365,-52.573,-52.782,-52.991,-53.199,-53.408,-53.617,-53.825,-54.034,-54.242,-54.347,-54.115,-53.882,-53.649,-53.466,-53.295,-53.124,-52.952,-52.781,-52.61,-52.141,-51.6561,-51.5075,-51.401,-51.295,-51.188,-51.073,-50.917,-50.761,-50.605,-49.944,-49.273
-60.562,-60.562,-60.562,-60.562,-60.562,-60.562,-60.562,-60.562,-60.562,-60.562,-60.562,-60.562,-60.562,-60.562,-60.741,-60.959,-61.177,-61.395,-61.589,-61.704,-61.819,-61.934,-62.049,-62.164,-62.279,-62.394,-62.509,-62.624,-62.74,-62.85,-62.959,-63.068,-63.177,-63.286,-63.395,-63.504,-63.613,-63.722,-63.831,-63.94,-64.049,-64.158,-64.228,-64.295,-64.363,-64.431,-64.498,-64.566,-64.634,-64.701,-64.769,-64.837,-64.904,-64.972,-65.04,-65.128,-65.227,-65.326,-65.424,-65.523,-65.621,-65.72,-65.819,-65.917,-66.016,-66.115,-66.213,-66.312,-66.354,-66.339,-66.324,-66.309,-66.293,-66.278,-66.263,-66.247,-66.232,-66.217,-66.201,-66.186,-66.171,-66.121,-66.024,-65.927,-65.83,-65.733,-65.636,-65.539,-65.442,-65.345,-65.248,-65.151,-65.054,-64.954,-64.772,-64.591,-64.41,-64.229,-64.048,-63.867,-63.686,-63.505,-63.324,-63.143,-62.962,-62.781,-62.633,-62.489,-62.345,-62.201,-62.057,-61.913,-61.769,-61.625,-61.481,-61.338,-61.194,-61.325,-61.533,-61.742,-61.951,-62.159,-62.368,-62.577,-62.785,-62.994,-63.202,-63.307,-63.075,-62.842,-62.609,-62.426,-62.255,-62.084,-61.912,-61.741,-61.57,-61.101,-60.6161,-60.4675,-60.361,-60.255,-60.148,-60.033,-59.877,-59.721,-59.565,-58.904,-58.233
-70.418,-70.418,-70.418,-70.418,-70.418,-70.418,-70.418,-70.418,-70.418,-70.418,-70.418,-70.418,-70.418,-70.418,-70.597,-70.815,-71.033,-71.251,-71.445,-71.56,-71.675,-71.79,-71.905,-72.02,-72.135,-72.25,-72.365,-72.48,-72.596,-72.706,-72.815,-72.924,-73.033,-73.142,-73.251,-73.36,-73.469,-73.578,-73.687,-73.796,-73.905,-74.014,-74.084,-74.151,-74.219,-74.287,-74.354,-74.422,-74.49,-74.557,-74.625,-74.693,-74.76,-74.828,-74.896,-74.984,-75.083,-75.182,-75.28,-75.379,-75.477,-75.576,-75.675,-75.773,-75.872,-75.971,-76.069,-76.168,-76.21,-76.195,-76.18,-76.165,-76.149,-76.134,-76.119,-76.103,-76.088,-76.073,-76.057,-76.042,-76.027,-75.977,-75.88,-75.783,-75.686,-75.589,-75.492,-75.395,-75.298,-75.201,-75.104,-75.007,-74.91,-74.81,-74.628,-74.447,-74.266,-74.085,-73.904,-73.723,-73.542,-73.361,-73.18,-72.999,-72.818,-72.637,-72.489,-72.345,-72.201,-72.057,-71.913,-71.769,-71.625,-71.481,-71.337,-71.194,-71.05,-71.181,-71.389,-71.598,-71.807,-72.015,-72.224,-72.433,-72.641,-72.85,-73.058,-73.163,-72.931,-72.698,-72.465,-72.282,-72.111,-71.94,-71.768,-71.597,-71.426,-70.957,-70.4721,-70.3235,-70.217,-70.111,-70.004,-69.889,-69.733,-69.577,-69.421,-68.76,-68.089
